Vendor,Model,Year,Version,Front Size Designation,Front Load Speed Index,Rear Size Designation,Rear Load Speed Index
DAEWOO,Espero,1991 - 1999,1.5 L 75,185/65 R 14,086H,185/65 R 14,086H
LANCIA,Zeta,1995 - 2002,2.0 L 132,205/65 R 15,094H,205/65 R 15,094H
MCLAREN,MP4-12C Spyder,2012 - 2014,3.8 V8 Bi-Turbo 625,235/35 R 19,091ZR(Y),305/30 R 20,099ZR(Y)
SSANGYONG,Kyron,2005 - 2012,3.2 V6 220,225/75 R 16,104H,225/75 R 16,104H
SSANGYONG,Kyron,2005 - 2012,3.2 V6 220,255/60 R 18,108H,255/60 R 18,108H
SSANGYONG,Kyron,2005 - 2012,3.2 V6 220,235/75 R 16,108H,235/75 R 16,108H
CATERHAM,275 S3,2015 - ,1.6 L 136,195/45 R 15,078V,195/45 R 15,078V
CATERHAM,275 S3,2015 - ,1.6 L 136,175/55 R 13,075V,175/55 R 13,075V
CUPRA,Leon IV ST,2021 - ,2.0 TFSI 245,225/40 R 18,092V,225/40 R 18,092V
CUPRA,Leon IV ST,2021 - ,2.0 TFSI 245,225/35 R 19,088V,225/35 R 19,088V
CUPRA,Leon IV ST,2021 - ,2.0 TFSI 245,235/35 R 19,091Y,235/35 R 19,091Y
LANCIA,Zeta,1995 - 2002,2.0 Turbo 147,205/65 R 15,094H,205/65 R 15,094H
AIXAM,500-4,2002 - 2005,0.4 D 5,145/60 R 13,065T,145/60 R 13,065T
LAND ROVER,Range Rover IV SV,2012 - 2021,5.0 V8 565,275/45 R 21,110W,275/45 R 21,110W
LAND ROVER,Range Rover IV SV,2012 - 2021,5.0 V8 565,195/70 R 20,116M,195/70 R 20,116M
LAND ROVER,Range Rover IV SV,2012 - 2021,5.0 V8 565,275/40 R 22,108Y,275/40 R 22,108Y
CATERHAM,360,2015 - ,2.0 L 180,195/45 R 15,078V,195/45 R 15,078V
CATERHAM,360,2015 - ,2.0 L 180,175/55 R 13,075V,175/55 R 13,075V
MCLAREN,MP4-12C Spyder,2012 - 2014,3.8 V8 Bi-Turbo 600,235/35 R 19,091ZR(Y),305/30 R 20,099ZR(Y)
SSANGYONG,Kyron,2005 - 2012,2.3 16V 150,235/75 R 16,108H,235/75 R 16,108H
SSANGYONG,Kyron,2005 - 2012,2.3 16V 150,225/75 R 16,104H,225/75 R 16,104H
SSANGYONG,Kyron,2005 - 2012,2.3 16V 150,255/60 R 18,108H,255/60 R 18,108H
AIXAM,Crossline,2009 - ,0.5 L 20,155/70 R 13,075T,155/70 R 13,075T
AIXAM,Crossline,2009 - ,0.5 L 20,155/65 R 14,075T,155/65 R 14,075T
AIXAM,Crossline,2009 - ,0.5 L 20,145/70 R 13,071T,145/70 R 13,071T
AIXAM,Crossline,2009 - ,0.5 L 20,155/60 R 15,074T,155/60 R 15,074T
LAND ROVER,Range Rover Sport III SE D250,2022 - ,3.0 L MHEV 250,255/60 R 20,113Y,255/60 R 20,113Y
LAND ROVER,Range Rover Sport III SE D250,2022 - ,3.0 L MHEV 250,255/60 R 20,113V,255/60 R 20,113V
LAND ROVER,Range Rover Sport III SE D250,2022 - ,3.0 L MHEV 250,285/45 R 22,114V,285/45 R 22,114V
LAND ROVER,Range Rover Sport III SE D250,2022 - ,3.0 L MHEV 250,285/40 R 23,111Y,285/40 R 23,111Y
LAND ROVER,Range Rover Sport III SE D250,2022 - ,3.0 L MHEV 250,285/45 R 22,114Y,285/45 R 22,114Y
LAND ROVER,Range Rover Sport III SE D250,2022 - ,3.0 L MHEV 250,275/55 R 20,117W,275/55 R 20,117W
LAND ROVER,Range Rover Sport III SE D250,2022 - ,3.0 L MHEV 250,275/50 R 21,113Y,275/50 R 21,113Y
LAND ROVER,Range Rover Sport III SE D250,2022 - ,3.0 L MHEV 250,275/55 R 20,117V,275/55 R 20,117V
LAND ROVER,Range Rover Sport III SE D250,2022 - ,3.0 L MHEV 250,275/50 R 21,113V,275/50 R 21,113V
LAMBORGHINI,Huracan LP610-4,2014 - ,5.2 V10 611,245/30 R 20,090ZR(Y),305/30 R 20,103ZR(Y)
LAMBORGHINI,Huracan LP610-4,2014 - ,5.2 V10 611,245/35 R 19,093ZR(Y),305/35 R 19,102ZR(Y)
CATERHAM,200 CSR,2006 - ,2.0 L 200,195/45 R 15,078W,245/40 R 15,088W
CATERHAM,200 CSR,2006 - ,2.0 L 200,195/45 R 15,078V,195/45 R 15,078V
DAEWOO,Lanos,1997 - 2002,1.3 L 75,185/60 R 14,082H,185/60 R 14,082H
DAEWOO,Lanos,1997 - 2002,1.3 L 75,175/70 R 13,082T,175/70 R 13,082T
DAEWOO,Lanos,1997 - 2002,1.3 L 75,155/80 R 13,079T,155/80 R 13,079T
DAEWOO,Lanos,1997 - 2002,1.6 L 106,175/70 R 13,082H,175/70 R 13,082H
DAEWOO,Lanos,1997 - 2002,1.6 L 106,185/60 R 14,082H,185/60 R 14,082H
LANCIA,Y 10 4WD,1985 - 1995,1.1 L 50,135/80 R 13,082S,135/80 R 13,082S
LANCIA,Y 10 4WD,1985 - 1995,1.1 L 50,155/70 R 13,075T,155/70 R 13,075T
DAEWOO,Lanos,1997 - 2002,1.5 L 86,185/60 R 14,082H,185/60 R 14,082H
DAEWOO,Lanos,1997 - 2002,1.5 L 86,175/70 R 13,082T,175/70 R 13,082T
LAMBORGHINI,Huracan STO,2021 - ,5.2 V10 640,245/30 R 20,090ZR(Y),305/30 R 20,103ZR(Y)
SSANGYONG,Kyron,2005 - 2012,2.0 Xdi 140,235/75 R 16,108H,235/75 R 16,108H
SSANGYONG,Kyron,2005 - 2012,2.0 Xdi 140,225/75 R 16,104H,225/75 R 16,104H
SSANGYONG,Kyron,2005 - 2012,2.0 Xdi 140,255/60 R 18,108H,255/60 R 18,108H
CUPRA,Leon IV,2021 - ,2.0 TFSI 300,225/35 R 19,088V,225/35 R 19,088V
CUPRA,Leon IV,2021 - ,2.0 TFSI 300,225/40 R 18,092V,225/40 R 18,092V
CUPRA,Leon IV,2021 - ,2.0 TFSI 300,235/35 R 19,091Y,235/35 R 19,091Y
CUPRA,Leon IV,2021 - ,2.0 TFSI 300,225/40 R 18,092Y,225/40 R 18,092Y
SSANGYONG,Kyron,2005 - 2012,2.7 Xdi 163,235/75 R 16,108H,235/75 R 16,108H
SSANGYONG,Kyron,2005 - 2012,2.7 Xdi 163,255/60 R 18,108H,255/60 R 18,108H
SSANGYONG,Kyron,2005 - 2012,2.7 Xdi 163,225/75 R 16,104H,225/75 R 16,104H
DAEWOO,Leganza,1997 - 2003,2.2 16V 136,205/60 R 15,091H,205/60 R 15,091H
CUPRA,Leon IV,2021 - ,1.4 e-Hybrid 245,225/40 R 18,092Y,225/40 R 18,092Y
CUPRA,Leon IV,2021 - ,1.4 e-Hybrid 245,235/35 R 19,091Y,235/35 R 19,091Y
CUPRA,Leon IV,2021 - ,1.4 e-Hybrid 245,225/40 R 18,092V,225/40 R 18,092V
CUPRA,Leon IV,2021 - ,1.4 e-Hybrid 245,225/35 R 19,088V,225/35 R 19,088V
SSANGYONG,Kyron,2005 - 2012,2.7 Xdi 186,235/75 R 16,108H,235/75 R 16,108H
SSANGYONG,Kyron,2005 - 2012,2.7 Xdi 186,225/75 R 16,104H,225/75 R 16,104H
SSANGYONG,Kyron,2005 - 2012,2.7 Xdi 186,255/60 R 18,108H,255/60 R 18,108H
AIXAM,Crossline,2009 - ,0.6 D 15,155/60 R 15,074T,155/60 R 15,074T
AIXAM,Crossline,2009 - ,0.6 D 15,155/65 R 14,075T,155/65 R 14,075T
AIXAM,Crossline,2009 - ,0.6 D 15,145/70 R 13,071T,145/70 R 13,071T
AIXAM,Crossline,2009 - ,0.6 D 15,155/70 R 13,075T,155/70 R 13,075T
DAEWOO,Leganza,1997 - 2003,2.0 16V 130,205/55 R 16,091V,205/55 R 16,091V
DAEWOO,Leganza,1997 - 2003,2.0 16V 130,205/65 R 15,091H,205/65 R 15,091H
DAEWOO,Leganza,1997 - 2003,2.0 16V 130,195/70 R 14,090H,195/70 R 14,090H
CUPRA,Leon IV,2021 - ,2.0 TFSI 245,225/40 R 18,092Y,225/40 R 18,092Y
CUPRA,Leon IV,2021 - ,2.0 TFSI 245,235/35 R 19,091Y,235/35 R 19,091Y
CUPRA,Leon IV,2021 - ,2.0 TFSI 245,225/40 R 18,092V,225/40 R 18,092V
CUPRA,Leon IV,2021 - ,2.0 TFSI 245,225/35 R 19,088V,225/35 R 19,088V
OPEL,LS,1994 - 2001,1.7 D 58,175/65 R 14,082T,175/65 R 14,082T
OPEL,LS,1994 - 2001,1.7 D 58,165/80 R 13,083R,165/80 R 13,083R
OPEL,LS,1994 - 2001,1.7 D 58,165/70 R 13,086R,165/70 R 13,086R
LANCIA,Delta III,2008 - 2014,1.4 T 120,225/45 R 17,091W,225/45 R 17,091W
LANCIA,Delta III,2008 - 2014,1.4 T 120,205/55 R 16,091V,205/55 R 16,091V
LANCIA,Delta III,2008 - 2014,1.4 T 120,225/40 R 18,092W,225/40 R 18,092W
LAND ROVER,Defender 130,1990 - 2012,2.4 TD4 122,7.5 R 16,116N,7.5 R 16,116N
LAND ROVER,Defender 130,1990 - 2012,2.4 TD4 122,235/85 R 16,116Q,235/85 R 16,116Q
LANCIA,Delta III,2008 - 2014,2.0 JTD 165,225/45 R 17,091W,225/45 R 17,091W
LANCIA,Delta III,2008 - 2014,2.0 JTD 165,205/55 R 16,091V,205/55 R 16,091V
LANCIA,Delta III,2008 - 2014,2.0 JTD 165,225/40 R 18,092W,225/40 R 18,092W
LAND ROVER,Defender 130,1990 - 2012,4.0 V8 185,265/75 R 16,112Q,265/75 R 16,112Q
OPEL,Astra J GTC OPC,2011 - 2015,2.0 T 280,245/35 R 20,095Y,245/35 R 20,095Y
OPEL,Astra J GTC OPC,2011 - 2015,2.0 T 280,235/45 R 18,098H,235/45 R 18,098H
OPEL,Astra J GTC OPC,2011 - 2015,2.0 T 280,245/40 R 19,098Y,245/40 R 19,098Y
LANCIA,Delta III,2008 - 2014,1.6 JTD 105,205/55 R 16,091V,205/55 R 16,091V
LANCIA,Delta III,2008 - 2014,1.6 JTD 105,225/45 R 17,091W,225/45 R 17,091W
LAND ROVER,Defender 130,1990 - 2012,2.5 TD5 122,7.5 R 16,116N,7.5 R 16,116N
LAND ROVER,Defender 130,1990 - 2012,2.5 TD5 122,235/85 R 16,114Q,235/85 R 16,114Q
DAEWOO,Leganza,1997 - 2003,2.0 16V 126,205/60 R 15,091H,205/60 R 15,091H
LANCIA,Delta III,2008 - 2014,1.8 DI T 200,225/45 R 17,094W,225/45 R 17,094W
LANCIA,Delta III,2008 - 2014,1.8 DI T 200,225/40 R 18,092W,225/40 R 18,092W
MCLAREN,Elva,2021 - ,4.0 V8 Bi-Turbo 815,245/35 R 19,093Y,305/30 R 20,103Y
LAND ROVER,Defender 130,1990 - 2012,2.5 TD 113,7.5 R 16,116N,7.5 R 16,116N
SSANGYONG,Actyon Sports 4x4,2012 - 2018,2.2 e-XDI 178,255/60 R 18,108H,255/60 R 18,108H
SSANGYONG,Actyon Sports 4x4,2012 - 2018,2.2 e-XDI 178,225/75 R 16,104H,225/75 R 16,104H
LANCIA,Delta III,2008 - 2014,1.4 T MultiAir 140,225/40 R 18,092W,225/40 R 18,092W
LANCIA,Delta III,2008 - 2014,1.4 T MultiAir 140,205/55 R 16,091V,205/55 R 16,091V
LANCIA,Delta III,2008 - 2014,1.4 T MultiAir 140,225/45 R 17,091W,225/45 R 17,091W
LAND ROVER,Defender 130,1990 - 2012,2.2 TD 122,235/85 R 16,116Q,235/85 R 16,116Q
LAMBORGHINI,Aventador SVJ Roadster,2011 - 2021,LP 700-4 - 6.5 V12 770,255/35 R 19,096ZR(Y),335/30 R 20,104ZR(Y)
LAMBORGHINI,Aventador SVJ Roadster,2011 - 2021,LP 700-4 - 6.5 V12 770,255/30 R 20,092ZR(Y),355/25 R 21,107ZR(Y)
LANCIA,Delta III,2008 - 2014,1.9 JDT 190,225/45 R 17,091W,225/45 R 17,091W
LANCIA,Delta III,2008 - 2014,1.9 JDT 190,225/40 R 18,092W,225/40 R 18,092W
LANCIA,Delta III,2008 - 2014,1.6 JTD 120,225/45 R 17,091W,225/45 R 17,091W
LANCIA,Delta III,2008 - 2014,1.6 JTD 120,205/55 R 16,091V,205/55 R 16,091V
LANCIA,Delta III,2008 - 2014,1.6 JTD 120,225/40 R 18,092W,225/40 R 18,092W
MCLAREN,650S Coupé,2014 - 2017,3.8 V8 Bi-Turbo 650,235/35 R 19,091ZR(Y),305/30 R 20,099ZR(Y)
MCLAREN,650S Coupé,2014 - 2017,3.8 V8 Bi-Turbo 650,235/35 R 19,087V,295/30 R 20,101W
CUPRA,Born,2021 - ,Electric 204,215/50 R 19,093T,215/50 R 19,093T
CUPRA,Born,2021 - ,Electric 204,215/55 R 18,095T,215/55 R 18,095T
LANCIA,Dedra SW 4X4,1994 - 1999,2.0 L 139,195/50 R 15,000ZR,195/50 R 15,000ZR
MCLAREN,Speedtail,2020 - ,4.0 V8 Hybrid 1070,235/35 R 20,092Y,315/30 R 21,105Y
SSANGYONG,Musso Pick-up 4x4,2018 - ,2.2 L e-Xdi 181,255/50 R 20,105H,255/50 R 20,105H
SSANGYONG,Musso Pick-up 4x4,2018 - ,2.2 L e-Xdi 181,235/70 R 17,107H,235/70 R 17,107H
SSANGYONG,Musso Pick-up 4x4,2018 - ,2.2 L e-Xdi 181,255/60 R 18,108H,255/60 R 18,108H
CUPRA,Born,2022 - ,Electric 230,215/45 R 20,095T,215/45 R 20,095T
CUPRA,Born,2022 - ,Electric 230,235/40 R 20,096Y,235/40 R 20,096Y
CUPRA,Born,2022 - ,Electric 230,215/50 R 19,093T,215/50 R 19,093T
LAMBORGHINI,LP 570-4 Spyder Performante,2010 - 2014,5.2 V10 570,235/35 R 19,091ZR(Y),295/30 R 19,100ZR(Y)
OPEL,Frontera,1992 - 1998,2.2 L 136,235/70 R 16,105T,235/70 R 16,105T
OPEL,Frontera,1992 - 1998,2.2 L 136,255/65 R 16,109T,255/65 R 16,109T
AIXAM,A 721,2005 - 2009,0.4 D 5,145/65 R 14,070S,145/65 R 14,070S
AIXAM,A 721,2005 - 2009,0.4 D 5,145/70 R 13,071T,145/70 R 13,071T
AIXAM,A 721,2005 - 2009,0.4 D 5,145/60 R 13,065T,145/60 R 13,065T
AIXAM,A 721,2005 - 2009,0.4 D 5,155/65 R 14,075T,155/65 R 14,075T
OPEL,Frontera,1992 - 1998,2.5 TDS 115,235/70 R 16,105T,235/70 R 16,105T
OPEL,Frontera,1992 - 1998,2.5 TDS 115,255/65 R 16,109T,255/65 R 16,109T
SSANGYONG,Rexton 2WD,2017 - ,2.2 e-Xdi 181,235/70 R 17,107H,235/70 R 17,107H
SSANGYONG,Rexton 2WD,2017 - ,2.2 e-Xdi 181,255/70 R 16,111H,255/70 R 16,111H
SSANGYONG,Rexton 2WD,2017 - ,2.2 e-Xdi 181,255/60 R 18,108H,255/60 R 18,108H
OPEL,Frontera,1992 - 1998,2.8 TD 113,235/70 R 16,105T,235/70 R 16,105T
OPEL,Frontera,1992 - 1998,2.8 TD 113,255/65 R 16,109T,255/65 R 16,109T
LAND ROVER,Range Rover Evoque Cabrio,2011 - 2018,2.2 TD4 150,235/55 R 19,105W,235/55 R 19,105W
LAND ROVER,Range Rover Evoque Cabrio,2011 - 2018,2.2 TD4 150,225/65 R 17,106V,225/65 R 17,106V
LAND ROVER,Range Rover Evoque Cabrio,2011 - 2018,2.2 TD4 150,235/60 R 18,103V,235/60 R 18,103V
LAND ROVER,Range Rover Evoque Cabrio,2011 - 2018,2.2 TD4 150,245/45 R 20,103V,245/45 R 20,103V
AIXAM,Roadline,2009 - 2010,0.6 D 15,145/70 R 13,071T,145/70 R 13,071T
AIXAM,Roadline,2009 - 2010,0.6 D 15,155/65 R 14,075T,155/65 R 14,075T
LAND ROVER,Range Rover Evoque Cabrio,2011 - 2018,2.0 TD4 150,235/55 R 19,105W,235/55 R 19,105W
LAND ROVER,Range Rover Evoque Cabrio,2011 - 2018,2.0 TD4 150,245/45 R 20,103V,245/45 R 20,103V
LAND ROVER,Range Rover Evoque Cabrio,2011 - 2018,2.0 TD4 150,225/65 R 17,106V,225/65 R 17,106V
LAND ROVER,Range Rover Evoque Cabrio,2011 - 2018,2.0 TD4 150,235/60 R 18,103V,235/60 R 18,103V
DAEWOO,Lacetti,2004 - 2006,1.8 L 121,175/70 R 14,084H,175/70 R 14,084H
DAEWOO,Lacetti,2004 - 2006,1.8 L 121,185/65 R 14,086H,185/65 R 14,086H
DAEWOO,Lacetti,2004 - 2006,1.8 L 121,195/55 R 15,085V,195/55 R 15,085V
DAEWOO,Lacetti,2004 - 2006,1.8 L 121,195/50 R 16,084V,195/50 R 16,084V
SSANGYONG,Rexton 4WD,2017 - ,2.2 e-Xdi 181,235/70 R 17,107H,235/70 R 17,107H
SSANGYONG,Rexton 4WD,2017 - ,2.2 e-Xdi 181,255/60 R 18,108H,255/60 R 18,108H
SSANGYONG,Rexton 4WD,2017 - ,2.2 e-Xdi 181,255/70 R 16,111H,255/70 R 16,111H
LAMBORGHINI,Aventador SVJ,2011 - 2021,LP 700-4 - 6.5 V12 770,255/35 R 19,096ZR(Y),335/30 R 20,104ZR(Y)
LAMBORGHINI,Aventador SVJ,2011 - 2021,LP 700-4 - 6.5 V12 770,255/30 R 20,092ZR(Y),355/25 R 21,107ZR(Y)
DAEWOO,Lacetti,2004 - 2006,1.4 L 95,185/65 R 14,086H,185/65 R 14,086H
DAEWOO,Lacetti,2004 - 2006,1.4 L 95,175/70 R 14,084H,175/70 R 14,084H
DAEWOO,Lacetti,2004 - 2006,1.4 L 95,195/50 R 16,084V,195/50 R 16,084V
DAEWOO,Lacetti,2004 - 2006,1.4 L 95,195/55 R 15,085V,195/55 R 15,085V
LAND ROVER,Range Rover Evoque Cabrio,2016 - 2018,2.0 Si4 240,235/55 R 19,105V,235/55 R 19,105V
LAND ROVER,Range Rover Evoque Cabrio,2016 - 2018,2.0 Si4 240,235/60 R 18,103V,235/60 R 18,103V
LAND ROVER,Range Rover Evoque Cabrio,2016 - 2018,2.0 Si4 240,235/60 R 18,107V,235/60 R 18,107V
LAND ROVER,Range Rover Evoque Cabrio,2016 - 2018,2.0 Si4 240,245/45 R 20,103V,245/45 R 20,103V
LAND ROVER,Range Rover Evoque Cabrio,2016 - 2018,2.0 Si4 240,225/65 R 17,106V,225/65 R 17,106V
DAEWOO,Lacetti,2004 - 2006,1.6 L 109,185/65 R 14,086H,185/65 R 14,086H
DAEWOO,Lacetti,2004 - 2006,1.6 L 109,175/70 R 14,084H,175/70 R 14,084H
DAEWOO,Lacetti,2004 - 2006,1.6 L 109,195/50 R 16,084V,195/50 R 16,084V
DAEWOO,Lacetti,2004 - 2006,1.6 L 109,195/55 R 15,085V,195/55 R 15,085V
OPEL,Frontera,1998 - 2004,2.2 16V 136,235/75 R 15,105T,235/75 R 15,105T
OPEL,Frontera,1998 - 2004,2.2 16V 136,245/70 R 16,107H,245/70 R 16,107H
MCLAREN,P1,2013 - 2015,3.8 V8 Bi-Turbo 916,245/35 R 19,093ZR(Y),315/30 R 20,101ZR(Y)
MCLAREN,P1,2013 - 2015,3.8 V8 Bi-Turbo 916,235/35 R 19,091W,305/30 R 20,103W
LANCIA,Thesis,2002 - 2010,2.4 JTD 150,225/50 R 17,094W,225/50 R 17,094W
LANCIA,Thesis,2002 - 2010,2.4 JTD 150,215/60 R 16,095W,215/60 R 16,095W
CUPRA,Formentor VZ5,2022 - ,2.5 L 390,255/35 R 20,097Y,255/35 R 20,097Y
CUPRA,Formentor VZ5,2022 - ,2.5 L 390,245/40 R 19,098V,245/40 R 19,098V
OPEL,Frontera,1998 - 2004,3.2 V6 205,245/70 R 16,107H,245/70 R 16,107H
LANCIA,Thesis,2002 - 2010,2.4 JTD 185,215/60 R 16,095W,215/60 R 16,095W
LANCIA,Thesis,2002 - 2010,2.4 JTD 185,225/50 R 17,094W,225/50 R 17,094W
AIXAM,A 741,2005 - 2009,0.4 D 5,145/65 R 14,070S,145/65 R 14,070S
AIXAM,A 741,2005 - 2009,0.4 D 5,145/70 R 13,071T,145/70 R 13,071T
AIXAM,A 741,2005 - 2009,0.4 D 5,145/60 R 13,065T,145/60 R 13,065T
AIXAM,A 741,2005 - 2009,0.4 D 5,155/65 R 14,075T,155/65 R 14,075T
OPEL,Frontera,1998 - 2004,2.2 Dti 115,235/75 R 15,105T,235/75 R 15,105T
OPEL,Frontera,1998 - 2004,2.2 Dti 115,245/70 R 16,107H,245/70 R 16,107H
DAEWOO,Nexia,1995 - 1997,1.5 L 90,185/60 R 14,082V,185/60 R 14,082V
SSANGYONG,Tivoli XLV 4WD,2016 - ,1.6 L 128,205/60 R 16,092H,205/60 R 16,092H
SSANGYONG,Tivoli XLV 4WD,2016 - ,1.6 L 128,215/45 R 18,089V,215/45 R 18,089V
LAND ROVER,Range Rover Evoque Cabrio,2016 - 2018,2.0 TD4 180,235/55 R 19,105V,235/55 R 19,105V
LAND ROVER,Range Rover Evoque Cabrio,2016 - 2018,2.0 TD4 180,235/60 R 18,107V,235/60 R 18,107V
LAND ROVER,Range Rover Evoque Cabrio,2016 - 2018,2.0 TD4 180,225/65 R 17,106V,225/65 R 17,106V
LAND ROVER,Range Rover Evoque Cabrio,2016 - 2018,2.0 TD4 180,245/45 R 20,103V,245/45 R 20,103V
DAEWOO,Nexia,1995 - 1997,1.5 L 75,175/70 R 13,082T,175/70 R 13,082T
DAEWOO,Nexia,1995 - 1997,1.5 L 75,185/60 R 14,082H,185/60 R 14,082H
LAMBORGHINI,Aventador,2011 - 2021,LP 720-4 - 6.5 V12 721,255/35 R 19,096ZR(Y),335/30 R 20,104ZR(Y)
LAMBORGHINI,Aventador,2011 - 2021,LP 720-4 - 6.5 V12 721,255/30 R 20,092ZR(Y),355/25 R 21,107ZR(Y)
SSANGYONG,Tivoli XLV 4WD,2016 - ,1.6 D 116,215/45 R 18,089V,215/45 R 18,089V
SSANGYONG,Tivoli XLV 4WD,2016 - ,1.6 D 116,205/60 R 16,092H,205/60 R 16,092H
LAND ROVER,Range Rover Evoque Cabrio,2016 - 2018,2.0 SD4 240,245/45 R 20,103W,245/45 R 20,103W
LAND ROVER,Range Rover Evoque Cabrio,2016 - 2018,2.0 SD4 240,235/55 R 19,105W,235/55 R 19,105W
LANCIA,Thesis,2002 - 2010,2.4 L 170,215/60 R 16,095W,215/60 R 16,095W
LANCIA,Thesis,2002 - 2010,2.4 L 170,225/50 R 17,094W,225/50 R 17,094W
LANCIA,Thesis,2002 - 2010,3.0 V6 215,215/60 R 16,095W,215/60 R 16,095W
LANCIA,Thesis,2002 - 2010,3.0 V6 215,225/50 R 17,094W,225/50 R 17,094W
CUPRA,Formentor,2021 - ,2.0 TSI 190,225/50 R 18,095W,225/50 R 18,095W
CUPRA,Formentor,2021 - ,2.0 TSI 190,245/45 R 18,096W,245/45 R 18,096W
CUPRA,Formentor,2021 - ,2.0 TSI 190,245/40 R 19,094W,245/40 R 19,094W
LANCIA,Thesis,2002 - 2010,2.0 Turbo 185,215/60 R 16,095W,215/60 R 16,095W
LANCIA,Thesis,2002 - 2010,2.0 Turbo 185,225/50 R 17,094W,225/50 R 17,094W
LAND ROVER,Discovery III,2004 - 2009,2.7 TDV6 190,255/60 R 18,112H,255/60 R 18,112H
LAND ROVER,Discovery III,2004 - 2009,2.7 TDV6 190,255/55 R 19,111H,255/55 R 19,111H
LAND ROVER,Discovery III,2004 - 2009,2.7 TDV6 190,235/70 R 17,111H,235/70 R 17,111H
LAND ROVER,Discovery III,2004 - 2009,2.7 TDV6 190,235/65 R 18,110H,235/65 R 18,110H
CUPRA,Formentor,2021 - ,1.4 e-Hybrid 245,225/50 R 18,095W,225/50 R 18,095W
CUPRA,Formentor,2021 - ,1.4 e-Hybrid 245,245/45 R 18,096W,245/45 R 18,096W
CUPRA,Formentor,2021 - ,1.4 e-Hybrid 245,245/40 R 19,094W,245/40 R 19,094W
LANCIA,Thesis,2002 - 2010,2.4 JTD 175,215/60 R 16,095W,215/60 R 16,095W
LANCIA,Thesis,2002 - 2010,2.4 JTD 175,225/50 R 17,094W,225/50 R 17,094W
LAMBORGHINI,Aventador,2011 - 2021,LP 700-4 - 6.5 V12 700,255/30 R 20,092ZR(Y),355/25 R 21,107ZR(Y)
LAMBORGHINI,Aventador,2011 - 2021,LP 700-4 - 6.5 V12 700,255/35 R 19,096ZR(Y),335/30 R 20,104ZR(Y)
AIXAM,Coupé,2009 - ,0.4 D 5,145/70 R 13,071T,145/70 R 13,071T
AIXAM,Coupé,2009 - ,0.4 D 5,155/65 R 14,075T,155/65 R 14,075T
AIXAM,Coupé,2009 - ,0.4 D 5,155/60 R 15,074T,155/60 R 15,074T
OPEL,Astra J,2009 - 2015,1.7 CDTI 110,225/50 R 17,094V,225/50 R 17,094V
OPEL,Astra J,2009 - 2015,1.7 CDTI 110,215/50 R 17,095T,215/50 R 17,095T
OPEL,Astra J,2009 - 2015,1.7 CDTI 110,215/60 R 16,095V,215/60 R 16,095V
OPEL,Astra J,2009 - 2015,1.7 CDTI 110,205/60 R 16,092T,205/60 R 16,092T
OPEL,Astra J,2009 - 2015,1.7 CDTI 110,235/45 R 18,094W,235/45 R 18,094W
OPEL,Astra J,2009 - 2015,1.7 CDTI 110,235/40 R 19,092W,235/40 R 19,092W
MCLAREN,600LT Coupé,2018 - 2021,3.8 V8 Bi-Turbo 600,225/35 R 19,088ZR(Y),285/35 R 20,092ZR(Y)
CUPRA,Formentor,2021 - ,2.0 TSI 245,245/45 R 18,096W,245/45 R 18,096W
CUPRA,Formentor,2021 - ,2.0 TSI 245,245/40 R 19,094W,245/40 R 19,094W
CUPRA,Formentor,2021 - ,2.0 TSI 245,225/55 R 17,097V,225/55 R 17,097V
CUPRA,Formentor,2021 - ,2.0 TSI 245,225/50 R 18,095W,225/50 R 18,095W
OPEL,Astra J,2009 - 2015,1.4 L 100,205/60 R 16,092H,205/60 R 16,092H
OPEL,Astra J,2009 - 2015,1.4 L 100,225/45 R 17,091V,225/45 R 17,091V
OPEL,Astra J,2009 - 2015,1.4 L 100,215/60 R 16,095H,215/60 R 16,095H
OPEL,Astra J,2009 - 2015,1.4 L 100,215/50 R 17,091V,215/50 R 17,091V
OPEL,Astra J,2009 - 2015,1.6 L 115,235/40 R 19,092W,235/40 R 19,092W
OPEL,Astra J,2009 - 2015,1.6 L 115,225/45 R 18,091V,225/45 R 18,091V
OPEL,Astra J,2009 - 2015,1.6 L 115,215/50 R 17,091V,215/50 R 17,091V
OPEL,Astra J,2009 - 2015,1.6 L 115,205/60 R 16,092H,205/60 R 16,092H
OPEL,Astra J,2009 - 2015,1.6 L 115,215/60 R 16,095H,215/60 R 16,095H
CUPRA,Formentor,2020 - ,2.0 TSI 310,225/50 R 18,095W,225/50 R 18,095W
CUPRA,Formentor,2020 - ,2.0 TSI 310,245/45 R 18,096W,245/45 R 18,096W
CUPRA,Formentor,2020 - ,2.0 TSI 310,245/40 R 19,094W,245/40 R 19,094W
LANCIA,Dedra 4X4,1989 - 1999,2.0,195/50 R 15,082V,195/50 R 15,082V
MCLAREN,600LT Spider,2019 - 2021,3.8 V8 Bi-Turbo 600,225/35 R 19,088ZR(Y),285/35 R 20,092ZR(Y)
OPEL,Astra J,2009 - 2015,2.0 CDTI 165,235/40 R 19,092W,235/40 R 19,092W
OPEL,Astra J,2009 - 2015,2.0 CDTI 165,215/50 R 17,095T,215/50 R 17,095T
OPEL,Astra J,2009 - 2015,2.0 CDTI 165,205/60 R 16,092T,205/60 R 16,092T
OPEL,Astra J,2009 - 2015,2.0 CDTI 165,225/50 R 17,094V,225/50 R 17,094V
